data_period,city_admin,subdistrict,ward,water_height_cm,people_affected,max_evacuees,deaths,max_water_cm
201604,JAKARTA SELATAN,Jagakarsa,SRENGSENG SAWAH,30 - 100,8,0.0,0,100.0
201604,JAKARTA SELATAN,Jagakarsa,TANJUNG BARAT,100,0,0.0,0,100.0
201604,JAKARTA SELATAN,Kebayoran Baru,CIPETE UTARA,40 - 50,0,0.0,0,50.0
201604,JAKARTA SELATAN,Kebayoran Baru,PETOGOGAN,80,0,0.0,0,80.0
201604,JAKARTA SELATAN,Kebayoran Lama,CIPULIR,5 - 40,0,0.0,0,40.0
201604,JAKARTA SELATAN,Kebayoran Lama,KEBAYORAN LAMA UTARA,20 - 30,0,0.0,0,30.0
201604,JAKARTA SELATAN,Kebayoran Lama,PONDOK PINANG,80,0,0.0,0,80.0
201604,JAKARTA SELATAN,Mampang Prapatan,BANGKA,20 - 30,0,0.0,0,30.0
201604,JAKARTA SELATAN,Pancoran,KALIBATA,30 - 100,0,0.0,0,100.0
201604,JAKARTA SELATAN,Pancoran,PENGADENGAN,20 - 70,521,0.0,0,70.0
201604,JAKARTA SELATAN,Pancoran,RAWAJATI,20 - 100,675,0.0,0,100.0
201604,JAKARTA SELATAN,Pasar Minggu,CILANDAK TIMUR,30 - 80,85,30.0,0,80.0
201604,JAKARTA SELATAN,Pasar Minggu,JATIPADANG,30 - 150,700,365.0,0,150.0
201604,JAKARTA SELATAN,Pasar Minggu,KEBAGUSAN,50 - 130,1452,0.0,0,130.0
201604,JAKARTA SELATAN,Pasar Minggu,PEJATEN BARAT,30 - 120,1252,1222.0,0,120.0
201604,JAKARTA SELATAN,Pasar Minggu,PEJATEN TIMUR,100 - 250,1584,0.0,0,250.0
201604,JAKARTA SELATAN,Tebet,BUKIT DURI,20 - 80,4362,0.0,0,80.0
201604,JAKARTA SELATAN,Tebet,KEBON BARU,30 - 60,500,0.0,0,60.0
201604,JAKARTA TIMUR,Cipayung,BAMBU APUS,50 - 90,0,0.0,0,90.0
201604,JAKARTA TIMUR,Cipayung,CILANGKAP,10 - 70,0,0.0,0,70.0
201604,JAKARTA TIMUR,Cipayung,LUBANG BUAYA,40 - 50,340,0.0,0,50.0
201604,JAKARTA TIMUR,Cipayung,SETU,30 - 40,0,0.0,0,40.0
201604,JAKARTA TIMUR,Ciracas,CIBUBUR,30 - 80,0,0.0,0,80.0
201604,JAKARTA TIMUR,Ciracas,RAMBUTAN,20 - 120,1755,238.0,0,120.0
201604,JAKARTA TIMUR,Jatinegara,BIDARA CINA,20 - 100,2256,36.0,0,100.0
201604,JAKARTA TIMUR,Jatinegara,KAMPUNG MELAYU,100 - 125,2066,0.0,0,125.0
201604,JAKARTA TIMUR,Kramat Jati,BALE KAMBANG,20 - 100,934,0.0,0,100.0
